DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,Dissolved oxygen (DO),,,12.2,mg/l,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,Dissolved oxygen saturation,,,112,%,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,pH,,,5.05,None,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,Salinity,,,0.01,ppt,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,Specific conductance,,,19.7,uS/cm,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,JS1,Jim's Steady Bridge,49.11094,-54.01715,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:05:00,,,,,,"Temperature, water",,,11.4,deg C,,,,,,,5.05 ph confirmed and replicated in nearby samples.,,,,,,,,
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,Dissolved oxygen (DO),,,11.2,mg/l,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,Dissolved oxygen saturation,,,103,%,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,pH,,,5.16,None,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,BB1,Big Bear Landing,49.10995,-53.98991,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,12:30:00,,,,,,Salinity,,,0.01,ppt,,,,,,,,,,,,,,,
